fiscal_year,year,month,month_name,season,store_name,category,price_band,channel,bills,units,revenue,gross_margin
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Accessories,Value,WhatsApp Order,41,51,22088.68,10160.78
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,59,75,112821.67,34974.72
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Cotton Saree,Value,Online,21,27,43726.05,13555.1
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Cotton Saree,Value,Walk-in,170,202,294724.45,91364.63
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,44,51,76996.27,23868.85
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,50,63,193551.22,65807.43
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Fancy Saree,Mid,Online,24,30,91713.97,31182.76
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Fancy Saree,Mid,Walk-in,181,217,683103.1,232255.08
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,53,70,243177.45,82680.34
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Kids Wear,Value,Exhibition Stall,36,49,44485.42,18239.01
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Kids Wear,Value,Online,13,15,14037.47,5755.36
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Kids Wear,Value,Walk-in,80,98,92147.07,37780.27
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Kids Wear,Value,WhatsApp Order,32,34,33778.88,13849.34
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Readymade,Mid,Exhibition Stall,44,51,109956.65,41783.52
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Readymade,Mid,Online,21,28,66690.55,25342.39
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Readymade,Mid,Walk-in,141,166,380767.91,144691.81
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Readymade,Mid,WhatsApp Order,56,66,149128.29,56668.74
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,34,41,524198.22,125807.57
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Silk Saree,Premium,Online,13,19,222174.62,53321.9
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Silk Saree,Premium,Walk-in,69,87,1125553.89,270132.93
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,25,28,384142.24,92194.13
FY2025-26,2025,12,December,Year-end,RS Puram,Accessories,Value,Exhibition Stall,30,35,14798.46,6807.3
FY2025-26,2025,12,December,Year-end,RS Puram,Accessories,Value,Online,18,18,7406.23,3406.87
FY2025-26,2025,12,December,Year-end,RS Puram,Accessories,Value,Walk-in,77,93,40373.83,18571.99
FY2025-26,2025,12,December,Year-end,RS Puram,Accessories,Value,WhatsApp Order,26,27,11036.46,5076.78
FY2025-26,2025,12,December,Year-end,RS Puram,Cotton Saree,Value,Exhibition Stall,44,54,69300.38,21483.13
FY2025-26,2025,12,December,Year-end,RS Puram,Cotton Saree,Value,Online,17,20,31072.96,9632.6
FY2025-26,2025,12,December,Year-end,RS Puram,Cotton Saree,Value,Walk-in,144,172,252654.01,78322.75
FY2025-26,2025,12,December,Year-end,RS Puram,Cotton Saree,Value,WhatsApp Order,46,56,74135.19,22981.93
FY2025-26,2025,12,December,Year-end,RS Puram,Fancy Saree,Mid,Exhibition Stall,39,46,134142.97,45608.62
FY2025-26,2025,12,December,Year-end,RS Puram,Fancy Saree,Mid,Online,18,20,57317.02,19487.8
FY2025-26,2025,12,December,Year-end,RS Puram,Fancy Saree,Mid,Walk-in,103,113,379077.45,128886.36
FY2025-26,2025,12,December,Year-end,RS Puram,Fancy Saree,Mid,WhatsApp Order,35,45,136528.96,46419.83
FY2025-26,2025,12,December,Year-end,RS Puram,Kids Wear,Value,Exhibition Stall,13,14,14287.69,5857.95
FY2025-26,2025,12,December,Year-end,RS Puram,Kids Wear,Value,Online,8,10,11531.4,4727.88
FY2025-26,2025,12,December,Year-end,RS Puram,Kids Wear,Value,Walk-in,53,60,61841.84,25355.17
FY2025-26,2025,12,December,Year-end,RS Puram,Kids Wear,Value,WhatsApp Order,18,29,26262.25,10767.54
FY2025-26,2025,12,December,Year-end,RS Puram,Readymade,Mid,Exhibition Stall,38,45,91245.9,34673.46
FY2025-26,2025,12,December,Year-end,RS Puram,Readymade,Mid,Online,11,13,31388.07,11927.46
FY2025-26,2025,12,December,Year-end,RS Puram,Readymade,Mid,Walk-in,93,107,240588.12,91423.48
FY2025-26,2025,12,December,Year-end,RS Puram,Readymade,Mid,WhatsApp Order,27,35,85970.44,32668.75
FY2025-26,2025,12,December,Year-end,RS Puram,Silk Saree,Premium,Exhibition Stall,20,21,262975.53,63114.14
FY2025-26,2025,12,December,Year-end,RS Puram,Silk Saree,Premium,Online,2,4,47209.18,11330.2
FY2025-26,2025,12,December,Year-end,RS Puram,Silk Saree,Premium,Walk-in,42,49,650992.41,156238.17
FY2025-26,2025,12,December,Year-end,RS Puram,Silk Saree,Premium,WhatsApp Order,11,16,190456.74,45709.61
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Accessories,Value,Exhibition Stall,65,73,25273.74,11625.89
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Accessories,Value,Online,29,39,17657.74,8122.56
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Accessories,Value,Walk-in,169,196,88822.99,40858.53
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Accessories,Value,WhatsApp Order,42,53,21594.43,9933.46
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,109,130,179613.31,55680.1
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Cotton Saree,Value,Online,38,43,62784.42,19463.19
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Cotton Saree,Value,Walk-in,256,314,452597.47,140305.29
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,82,101,152571.68,47297.22
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,89,108,321329.08,109251.95
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Fancy Saree,Mid,Online,24,28,93251.42,31705.47
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Fancy Saree,Mid,Walk-in,222,285,923238.85,313901.18
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,63,74,238458.04,81075.74
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Kids Wear,Value,Exhibition Stall,39,53,48420.36,19852.32
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Kids Wear,Value,Online,11,12,11409.17,4677.76
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Kids Wear,Value,Walk-in,100,118,114520.23,46953.3
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Kids Wear,Value,WhatsApp Order,42,45,44143.88,18098.96
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Readymade,Mid,Exhibition Stall,66,91,192470.99,73138.99
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Readymade,Mid,Online,20,26,68246.29,25933.59
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Readymade,Mid,Walk-in,196,234,522582.67,198581.4
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Readymade,Mid,WhatsApp Order,48,60,136126.96,51728.24
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,34,40,529017.2,126964.16
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Silk Saree,Premium,Online,11,12,148493.96,35638.56
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Silk Saree,Premium,Walk-in,98,114,1417297.27,340151.38
FY2025-26,2026,1,January,Pongal,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,31,36,437315.34,104955.69
FY2025-26,2026,1,January,Pongal,RS Puram,Accessories,Value,Exhibition Stall,35,40,17341.72,7977.19
FY2025-26,2026,1,January,Pongal,RS Puram,Accessories,Value,Online,10,12,4880.22,2244.91
FY2025-26,2026,1,January,Pongal,RS Puram,Accessories,Value,Walk-in,134,158,70433.12,32399.21
FY2025-26,2026,1,January,Pongal,RS Puram,Accessories,Value,WhatsApp Order,29,32,12759.1,5869.19
FY2025-26,2026,1,January,Pongal,RS Puram,Cotton Saree,Value,Exhibition Stall,67,72,101132.22,31350.99
FY2025-26,2026,1,January,Pongal,RS Puram,Cotton Saree,Value,Online,29,33,49283.23,15277.82
FY2025-26,2026,1,January,Pongal,RS Puram,Cotton Saree,Value,Walk-in,180,214,309411.16,95917.49
FY2025-26,2026,1,January,Pongal,RS Puram,Cotton Saree,Value,WhatsApp Order,52,61,94197.03,29201.12
FY2025-26,2026,1,January,Pongal,RS Puram,Fancy Saree,Mid,Exhibition Stall,49,55,170272.73,57892.7
FY2025-26,2026,1,January,Pongal,RS Puram,Fancy Saree,Mid,Online,19,26,83446.29,28371.76
FY2025-26,2026,1,January,Pongal,RS Puram,Fancy Saree,Mid,Walk-in,155,194,621851.43,211429.43
FY2025-26,2026,1,January,Pongal,RS Puram,Fancy Saree,Mid,WhatsApp Order,49,60,180259.02,61288.07
FY2025-26,2026,1,January,Pongal,RS Puram,Kids Wear,Value,Exhibition Stall,41,47,46398.82,19023.51
FY2025-26,2026,1,January,Pongal,RS Puram,Kids Wear,Value,Online,10,15,12781.64,5240.47
FY2025-26,2026,1,January,Pongal,RS Puram,Kids Wear,Value,Walk-in,74,98,104534.12,42858.95
FY2025-26,2026,1,January,Pongal,RS Puram,Kids Wear,Value,WhatsApp Order,26,30,29013.47,11895.52
FY2025-26,2026,1,January,Pongal,RS Puram,Readymade,Mid,Exhibition Stall,49,58,122966.43,46727.26
FY2025-26,2026,1,January,Pongal,RS Puram,Readymade,Mid,Online,20,30,71013.55,26985.14
FY2025-26,2026,1,January,Pongal,RS Puram,Readymade,Mid,Walk-in,134,160,371724.1,141255.14
FY2025-26,2026,1,January,Pongal,RS Puram,Readymade,Mid,WhatsApp Order,33,38,81710.65,31050.06
FY2025-26,2026,1,January,Pongal,RS Puram,Silk Saree,Premium,Exhibition Stall,23,28,342626.46,82230.36
FY2025-26,2026,1,January,Pongal,RS Puram,Silk Saree,Premium,Online,15,18,256066.36,61455.93
FY2025-26,2026,1,January,Pongal,RS Puram,Silk Saree,Premium,Walk-in,70,79,1033879.23,248131.01
FY2025-26,2026,1,January,Pongal,RS Puram,Silk Saree,Premium,WhatsApp Order,21,23,279367.31,67048.17
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Accessories,Value,Exhibition Stall,29,32,12706.69,5845.07
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Accessories,Value,Online,19,28,12735.57,5858.36
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Accessories,Value,Walk-in,95,111,49582.38,22807.86
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Accessories,Value,WhatsApp Order,40,52,21705.63,9984.58
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,60,73,102977.02,31922.86
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Cotton Saree,Value,Online,23,30,42909.27,13301.86
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Cotton Saree,Value,Walk-in,146,175,248963.92,77178.83
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,48,56,84258.61,26120.17
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,57,63,192827.76,65561.47
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Fancy Saree,Mid,Online,15,18,52426.22,17824.91
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Fancy Saree,Mid,Walk-in,135,152,486486.8,165405.5
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,42,54,185558.13,63089.77
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Kids Wear,Value,Exhibition Stall,23,30,28018.7,11487.66
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Kids Wear,Value,Online,11,17,17506.02,7177.46
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Kids Wear,Value,Walk-in,83,105,106868.86,43816.21
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Kids Wear,Value,WhatsApp Order,23,28,27546.31,11293.99
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Readymade,Mid,Exhibition Stall,44,62,147086.9,55893.02
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Readymade,Mid,Online,18,19,41652.08,15827.79
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Readymade,Mid,Walk-in,103,114,254736.21,96799.7
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Readymade,Mid,WhatsApp Order,29,35,82417.59,31318.7
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,13,17,227499.33,54599.86
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Silk Saree,Premium,Online,11,11,127387.94,30573.11
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Silk Saree,Premium,Walk-in,59,72,884230.48,212215.33
FY2025-26,2026,2,February,Post-Pongal,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,12,12,151710.15,36410.44
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Accessories,Value,Exhibition Stall,34,40,15457.94,7110.66
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Accessories,Value,Online,8,8,3597.86,1655.02
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Accessories,Value,Walk-in,70,88,35984.08,16552.71
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Accessories,Value,WhatsApp Order,17,20,7784.51,3580.88
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Cotton Saree,Value,Exhibition Stall,43,53,80509.5,24957.96
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Cotton Saree,Value,Online,15,21,29387.01,9109.96
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Cotton Saree,Value,Walk-in,107,130,193208.41,59894.63
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Cotton Saree,Value,WhatsApp Order,26,30,44751.24,13872.91
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Fancy Saree,Mid,Exhibition Stall,36,43,113223.58,38496.04
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Fancy Saree,Mid,Online,11,16,46804.64,15913.57
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Fancy Saree,Mid,Walk-in,104,132,410510.37,139573.49
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Fancy Saree,Mid,WhatsApp Order,29,31,100309.88,34105.36
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Kids Wear,Value,Exhibition Stall,10,16,15380.91,6306.17
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Kids Wear,Value,Online,3,3,3362.84,1378.76
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Kids Wear,Value,Walk-in,53,62,59206.71,24274.72
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Kids Wear,Value,WhatsApp Order,22,25,24785.31,10161.97
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Readymade,Mid,Exhibition Stall,22,27,62981.68,23933.07
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Readymade,Mid,Online,8,8,18970.14,7208.65
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Readymade,Mid,Walk-in,78,93,200704.62,76267.75
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Readymade,Mid,WhatsApp Order,27,30,68427.93,26002.62
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Silk Saree,Premium,Exhibition Stall,16,20,254733.2,61135.98
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Silk Saree,Premium,Online,6,6,77149.48,18515.87
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Silk Saree,Premium,Walk-in,39,46,574266.83,137824.05
FY2025-26,2026,2,February,Post-Pongal,RS Puram,Silk Saree,Premium,WhatsApp Order,14,16,217076.83,52098.44
FY2025-26,2026,3,March,Lean,Cross Cut Road,Accessories,Value,Exhibition Stall,55,62,26505.16,12192.39
FY2025-26,2026,3,March,Lean,Cross Cut Road,Accessories,Value,Online,22,25,12037.53,5537.28
FY2025-26,2026,3,March,Lean,Cross Cut Road,Accessories,Value,Walk-in,124,147,64545.16,29690.76
FY2025-26,2026,3,March,Lean,Cross Cut Road,Accessories,Value,WhatsApp Order,45,47,18158.16,8352.75
FY2025-26,2026,3,March,Lean,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,51,59,71936.3,22300.26
FY2025-26,2026,3,March,Lean,Cross Cut Road,Cotton Saree,Value,Online,33,41,60603.75,18787.19
FY2025-26,2026,3,March,Lean,Cross Cut Road,Cotton Saree,Value,Walk-in,196,233,337812.72,104721.96
FY2025-26,2026,3,March,Lean,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,56,64,92492.12,28672.55
FY2025-26,2026,3,March,Lean,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,54,64,191382.54,65070.06
FY2025-26,2026,3,March,Lean,Cross Cut Road,Fancy Saree,Mid,Online,21,24,75077.6,25526.4
FY2025-26,2026,3,March,Lean,Cross Cut Road,Fancy Saree,Mid,Walk-in,153,189,569115.71,193499.39
FY2025-26,2026,3,March,Lean,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,50,63,189879.59,64559.07
FY2025-26,2026,3,March,Lean,Cross Cut Road,Kids Wear,Value,Exhibition Stall,28,36,33861.87,13883.36
FY2025-26,2026,3,March,Lean,Cross Cut Road,Kids Wear,Value,Online,14,17,17569.67,7203.57
FY2025-26,2026,3,March,Lean,Cross Cut Road,Kids Wear,Value,Walk-in,80,96,96596.37,39604.49
FY2025-26,2026,3,March,Lean,Cross Cut Road,Kids Wear,Value,WhatsApp Order,32,38,37404.51,15335.86
FY2025-26,2026,3,March,Lean,Cross Cut Road,Readymade,Mid,Exhibition Stall,36,39,81357.22,30915.75
FY2025-26,2026,3,March,Lean,Cross Cut Road,Readymade,Mid,Online,20,29,68461.66,26015.44
FY2025-26,2026,3,March,Lean,Cross Cut Road,Readymade,Mid,Walk-in,152,180,420793.89,159901.73
FY2025-26,2026,3,March,Lean,Cross Cut Road,Readymade,Mid,WhatsApp Order,35,40,93282.92,35447.51
FY2025-26,2026,3,March,Lean,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,30,31,365153.47,87636.83
FY2025-26,2026,3,March,Lean,Cross Cut Road,Silk Saree,Premium,Online,15,19,250919.92,60220.81
FY2025-26,2026,3,March,Lean,Cross Cut Road,Silk Saree,Premium,Walk-in,54,61,778516.24,186843.92
FY2025-26,2026,3,March,Lean,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,26,30,390141.12,93633.87
FY2025-26,2026,3,March,Lean,RS Puram,Accessories,Value,Exhibition Stall,27,33,15107.35,6949.38
FY2025-26,2026,3,March,Lean,RS Puram,Accessories,Value,Online,13,16,5410.83,2488.98
FY2025-26,2026,3,March,Lean,RS Puram,Accessories,Value,Walk-in,83,107,42530.71,19564.13
FY2025-26,2026,3,March,Lean,RS Puram,Accessories,Value,WhatsApp Order,38,43,17946.92,8255.57
FY2025-26,2026,3,March,Lean,RS Puram,Cotton Saree,Value,Exhibition Stall,40,49,65561.49,20324.08
FY2025-26,2026,3,March,Lean,RS Puram,Cotton Saree,Value,Online,19,20,27531.88,8534.89
FY2025-26,2026,3,March,Lean,RS Puram,Cotton Saree,Value,Walk-in,126,164,248724.89,77104.71
FY2025-26,2026,3,March,Lean,RS Puram,Cotton Saree,Value,WhatsApp Order,37,39,62216.21,19287.04
FY2025-26,2026,3,March,Lean,RS Puram,Fancy Saree,Mid,Exhibition Stall,47,54,160254.0,54486.36
FY2025-26,2026,3,March,Lean,RS Puram,Fancy Saree,Mid,Online,23,27,82702.78,28118.94
FY2025-26,2026,3,March,Lean,RS Puram,Fancy Saree,Mid,Walk-in,126,144,448668.94,152547.48
FY2025-26,2026,3,March,Lean,RS Puram,Fancy Saree,Mid,WhatsApp Order,30,31,89168.04,30317.11
FY2025-26,2026,3,March,Lean,RS Puram,Kids Wear,Value,Exhibition Stall,26,30,27188.54,11147.28
FY2025-26,2026,3,March,Lean,RS Puram,Kids Wear,Value,Online,14,15,16153.21,6622.82
FY2025-26,2026,3,March,Lean,RS Puram,Kids Wear,Value,Walk-in,59,66,61574.81,25245.69
FY2025-26,2026,3,March,Lean,RS Puram,Kids Wear,Value,WhatsApp Order,16,20,18819.2,7715.87
FY2025-26,2026,3,March,Lean,RS Puram,Readymade,Mid,Exhibition Stall,43,52,100044.84,38017.04
FY2025-26,2026,3,March,Lean,RS Puram,Readymade,Mid,Online,16,21,46166.24,17543.18
FY2025-26,2026,3,March,Lean,RS Puram,Readymade,Mid,Walk-in,102,116,250191.93,95072.93
FY2025-26,2026,3,March,Lean,RS Puram,Readymade,Mid,WhatsApp Order,33,42,96571.79,36697.28
FY2025-26,2026,3,March,Lean,RS Puram,Silk Saree,Premium,Exhibition Stall,25,28,320092.57,76822.21
FY2025-26,2026,3,March,Lean,RS Puram,Silk Saree,Premium,Online,8,12,143481.88,34435.65
FY2025-26,2026,3,March,Lean,RS Puram,Silk Saree,Premium,Walk-in,59,71,936671.95,224801.27
FY2025-26,2026,3,March,Lean,RS Puram,Silk Saree,Premium,WhatsApp Order,17,27,340552.64,81732.64
